id,name,lat,lon
6106,Papineau / René-Lévesque,45.52114,-73.54926
6107,St-Mathieu / Ste-Catherine,45.49377692,-73.57912481
6108,Logan / Fullum,45.52844869,-73.551085
6109,Quai de la navette fluviale,45.51374144,-73.53838205
6110,Poupart / Ste-Catherine,45.52903307,-73.54634821
6111,Parthenais / Ste-Catherine,45.52620038,-73.54926646
6112,Montcalm / de Maisonneuve,45.5190922,-73.55784953
6113,Alexandre-DeSève / Ste-Catherine,45.52123045,-73.55386108
6114,Métro Papineau (Cartier / Ste-Catherine),45.52353,-73.55199
6115,Benny / de Monkland,45.46691425,-73.63170415
6116,Plessis / Ontario,45.52349211,-73.56073022
6117,de Maisonneuve / Aylmer (est),45.50526304,-73.57048005
6118,de Champlain / Ontario,45.52504754,-73.56003553
6119,Ontario / de Lorimier,45.52794846,-73.55740428
6120,Métro Frontenac (Ontario / du Havre),45.5336609,-73.5521968
6121,du Havre / de Rouen,45.53456257,-73.55478646
6122,Logan / d'Iberville,45.53057,-73.54913
6123,Alexandre-DeSève / la Fontaine,45.52327641,-73.55821833
6124,Poupart / Ontario,45.53193889,-73.55343863
6125,Ellendale / de la Côte-des-Neiges,45.499757,-73.629298
6126,Fullum / de Rouen,45.53213681,-73.5587132
6127,Henri-Julien / de Castelnau,45.537877,-73.618323
6128,Hogan / Ontario,45.53529548,-73.5511601
6129,de Bordeaux / Sherbrooke,45.52997069,-73.56305301
6130,Sherbrooke / Frontenac,45.5367,-73.56081
6131,Fullum / Sherbrooke,45.533924,-73.562425
6132,Larivière / de Lorimier,45.52913454,-73.55923355
6133,Chapleau / Terrasse Mercure,45.53673839,-73.56516659
6134,Bercy / Rachel,45.53840341,-73.56196404
6136,Métro Laurier (Rivard / Laurier),45.52761627,-73.5891147
6137,Cartier / Gauthier,45.53034709,-73.56698781
6138,Gauthier / de Lorimier,45.53167355,-73.56541336
6139,Gauthier / Parthenais,45.53292626,-73.56377989
6140,Marquette / Rachel,45.52980158,-73.57028961
6141,des Érables / Rachel,45.53354754,-73.56686711
6142,Calixa-Lavallée / Rachel,45.52779479,-73.57193917
6143,Rachel / de Brébeuf,45.52689,-73.57264
6145,du Parc-La Fontaine / Duluth,45.52451761,-73.57197672
6146,du Parc-La Fontaine / Roy,45.52317047,-73.56901288
6147,Calixa-Lavallée / Sherbrooke,45.52479,-73.56545
6148,Émile-Duployé / Sherbrooke,45.52720059,-73.56472939
6149,Chapleau / du Mont-Royal,45.53867,-73.56936
6150,Messier / du Mont-Royal,45.53711414,-73.5710031
6151,Parthenais / du Mont-Royal,45.53646917,-73.57146308
6152,Chabot / du Mont-Royal,45.53418509,-73.57358873
6153,Cartier / Marie-Anne,45.532674,-73.571776
6154,Marquette / du Mont-Royal,45.53229,-73.57544
6155,Garnier / du Mont-Royal,45.53092,-73.57674
6156,Marie-Anne / de la Roche,45.52775814,-73.57618511
6157,de Brébeuf / du Mont-Royal,45.52940778,-73.57815385
6158,Gilford / de Brébeuf,45.53081623,-73.58162597
6159,Ann / Wellington,45.49452706,-73.5567525
6160,Garnier / St-Joseph,45.53297746,-73.5812223
6161,Cartier / St-Joseph,45.53582824,-73.57869029
6162,Legendre / Henri-Julien,45.54612388,-73.64664674
6163,Marquette / Laurier,45.53543,-73.5822
6164,de Lanaudière / Laurier,45.53331361,-73.58373687
6165,Laurier / de Brébeuf,45.53251396,-73.58481109
6166,Gerry-Boulet / St-Grégoire,45.53373523,-73.58930647
6167,Marquette / St-Grégoire,45.53703,-73.58584
6168,Marmier / St-Denis,45.53087132,-73.59834552
6169,Boyer / du Mont-Royal,45.52743213,-73.57991673
6170,de Mentana / Laurier,45.53045007,-73.58763814
6171,Wolfe / Robin,45.51958083,-73.56011599
6173,Berri / Cherrier,45.51908844,-73.56950909
6174,Roy / St-Denis,45.51908,-73.5727
6175,St-Christophe / Cherrier,45.52027785,-73.56821626
6176,de Mentana / Rachel,45.52496324,-73.57555881
6177,St-Hubert / Duluth,45.52242565,-73.57418418
6178,Rivard / Rachel,45.5222776,-73.5775906
6179,Duluth / St-Denis,45.52060423,-73.57598394
6180,St-Dominique / René-Lévesque,45.50941837,-73.56135786
6181,Clark / Rachel,45.5173538,-73.58212888
6182,de Bullion / du Mont-Royal,45.52175121,-73.58526841
6183,Laval / du Mont-Royal,45.52236458,-73.5841459
6184,Métro Mont-Royal (Rivard / du Mont-Royal),45.524673,-73.58255
6185,des Érables / Bélanger,45.54912086,-73.6008735
6186,St-André / Laurier,45.52955901,-73.58760189
6187,Resther / du Mont-Royal,45.52562819,-73.58177483
6188,de Mentana / Marie-Anne,45.52602657,-73.57785881
6189,Chabot / Everett,45.55072306,-73.60957056
6190,Pontiac / Gilford,45.52700933,-73.58576596
6191,St-Zotique / Clark,45.531401,-73.612674
6192,Berri / St-Grégoire,45.5299696,-73.59190285
6193,de l'Esplanade / Fairmount,45.521495,-73.596758
6194,Métro Atwater (Atwater / Ste-Catherine),45.48947623,-73.58456567
6195,de Bullion / St-Joseph,45.52403655,-73.59014332
6196,Villeneuve / St-Laurent,45.52134173,-73.58941913
6197,de Bordeaux / Masson,45.5389844,-73.58244538
6198,Hélène-Baillargeon / St-Denis,45.52974,-73.59527
6199,St-Viateur / St-Laurent,45.52593073,-73.59883904
6200,Maguire / St-Laurent,45.52462849,-73.59581083
6201,Villeneuve / de l'Hôtel-de-Ville,45.5235442,-73.58733237
6202,Ste-Famille / Sherbrooke,45.51007155,-73.57075229
6203,Aylmer / Sherbrooke,45.50658669,-73.57329905
6204,Milton / Durocher,45.5081439,-73.57477158
6205,Milton / du Parc,45.50937775,-73.573578
6206,Prince-Arthur / du Parc,45.51059,-73.57547
6207,Ste-Famille / des Pins,45.51283175,-73.57688785
6208,Hutchison / des Pins,45.51069,-73.57805
6209,Milton / Clark,45.51254135,-73.57067719
6210,Métro Sauvé (Berri / Sauvé),45.55069207,-73.65636706
6211,Roy / St-Laurent,45.51561624,-73.57580826
6212,Duluth / de l'Esplanade,45.51509198,-73.58114183
6213,Duluth / St-Laurent,45.51687641,-73.57946008
6214,Square St-Louis (du Square St-Louis / Laval),45.5160908,-73.57012868
6215,Metcalfe / St-Catherine,45.50083232,-73.57245952
6216,Parc Jeanne Mance (monument sir George-Etienne Cartier),45.51496,-73.58503
6217,Vallières / St-Laurent,45.51896722,-73.58361617
6218,Prince-Arthur / St-Urbain,45.5125874,-73.57373893
6219,de l'Hôtel-de-Ville / Roy,45.5173331,-73.57443631
6220,Laval / Duluth,45.51921624,-73.57718021
6221,du Mont-Royal / Clark,45.51941,-73.58685
6222,de l'Esplanade / du Mont-Royal,45.51825291,-73.5883382
6223,du Mont-Royal / du Parc,45.517,-73.589
6224,Villeneuve / du Parc,45.51829,-73.59235
6225,Villeneuve / St-Urbain,45.520188,-73.590559
6226,Hôpital Maisonneuve-Rosemont (Rosemont / Chatelain),45.575707,-73.561562
6227,de l'Esplanade / Laurier,45.52103886,-73.59490693
6228,Waverly / Van Horne,45.527363,-73.607723
6229,Coloniale / du Mont-Royal,45.52116132,-73.58561575
6230,Waverly / St-Viateur,45.52385614,-73.6001265
6231,Jeanne-Mance / St-Viateur,45.52302648,-73.60184044
6232,Durocher / Van Horne,45.52426581,-73.61127377
6233,Bernard / Jeanne-Mance,45.52428648,-73.60497326
6234,de l'Arcade / Clark,45.52741036,-73.60393524
6235,St-Dominique / St-Viateur,45.526557,-73.59827578
6236,Laurier / de Bordeaux,45.5372588,-73.57917041
6237,Gilford / de Lanaudière,45.532008,-73.58044446
6240,Parc Kent (de Kent / Hudson),45.50572093,-73.62945914
6241,Querbes / Laurier,45.51753999,-73.59783188
6243,Bloomfield / Bernard,45.52068774,-73.6084279
6245,Bloomfield / Van Horne,45.5225858,-73.61265779
6246,Métro Outremont (Wiseman / Van Horne),45.52027054,-73.61484915
6247,St-Dominique / St-Zotique,45.53228146,-73.61099146
6248,St-Dominique / Rachel,45.518593,-73.581566
6249,Bélanger / St-Denis,45.53696,-73.61199
6250,Marché Jean-Talon (Henri-Julien / Jean-Talon),45.53678525,-73.61488796
6251,Dante / de Gaspé,45.53441493,-73.61231647
6252,Mozart / St-Laurent,45.53318,-73.61544
6253,Métro Jean-Talon (de Chateaubriand / Jean-Talon),45.54013829,-73.61402839
6254,Boyer / Bélanger,45.54006,-73.60897
6255,Boyer / St-Zotique,45.53848,-73.60556
6257,de St-Vallier / St-Zotique,45.53626118,-73.6075455
6258,Parc Père-Marquette (Chambord / Rosemont),45.53708783,-73.59321848
6259,Dandurand / de Lorimier,45.540881,-73.584157
6260,Dandurand / Papineau,45.53869977,-73.58622193
6261,Louis-Hémon / Rosemont,45.54459856,-73.58822286
6262,de la Roche /  de Bellechasse,45.53715923,-73.59747648
6263,de Hampton / de Monkland,45.47117931,-73.62700224
6264,Chabot / de Bellechasse,45.54256975,-73.59214425
6265,Parthenais / Laurier,45.53925853,-73.57745916
6266,Louis-Hébert / de Bellechasse,45.54666111,-73.5886842
6267,Chabot / Beaubien,45.54437555,-73.59564453
6268,Chambord / Beaubien,45.53993218,-73.5993433
6269,Wurtele / de Rouen,45.53762781,-73.55339438
6270,Fabre / St-Zotique,45.54345173,-73.60101029
6271,St-Jean-Baptiste / Notre-Dame,45.64000286,-73.49011302
6272,de Bordeaux / St-Zotique,45.54653901,-73.5986647
6273,Cartier / Bélanger,45.54679741,-73.60266387
6274,de la Roche / St-Joseph,45.531164,-73.583695
6275,Chambord / Jean-Talon,45.54484558,-73.61053616
6276,de la Roche / Bélanger,45.5416696,-73.6076045
6277,Louis-Hébert / Beaubien,45.54818637,-73.59201014
6278,Louis-Hébert / St-Zotique,45.55001,-73.59576
6279,Louis-Hébert / Bélanger,45.55158519,-73.59916493
6280,Casgrain / Laurier,45.5243748,-73.59181032
6281,Resther / St-Joseph,45.52769781,-73.58625278
6301,Parc Outremont (Bloomfield / Elmwood),45.51830945,-73.60328615
6302,Stuart / de la Côte-Ste-Catherine,45.51563409,-73.60671133
6303,Pratt / Van Horne,45.51414486,-73.62030208
6304,Rockland / Lajoie,45.515617,-73.614991
6305,Davaar / de la Côte-Ste-Catherine,45.514379,-73.610871
6306,Métro Édouard-Montpetit (du Mont-Royal / Vincent-d'Indy),45.510086,-73.611429
6307,Laval / Rachel,45.52017845,-73.57942387
6309,4e avenue / de Verdun,45.45688445,-73.57260704
6310,de Darlington / de la Côte-Ste-Catherine,45.50540325,-73.62116575
6311,Drolet / St-Zotique,45.53488214,-73.60941231
6312,de Kent / de la Côte-des-Neiges,45.50144933,-73.63305062
6313,Palm / St-Remi,45.470303,-73.589848
6314,de Lanaudière / Marie-Anne,45.52932643,-73.57480645
6315,Métro Côte-des-Neiges (Jean-Brillant / de la Côte-des-Neiges),45.49626477,-73.62154394
6316,Swail / Decelles,45.49705494,-73.61865252
6321,Gary-Carter / St-Laurent,45.53589983,-73.62244248
6322,St-Dominique / Gounod,45.53873795,-73.62802148
6323,Guizot / St-Laurent,45.53966322,-73.63447487
6324,de Liège / Lajeunesse,45.54560355,-73.63474041
6327,Drolet / Faillon,45.5392698,-73.62087876
6328,Henri-Julien / Villeray,45.53948747,-73.6235556
6329,Drolet / Gounod,45.54095134,-73.6263746
6330,de Gaspé / Jarry,45.54078005,-73.6304006
6331,Guizot / St-Denis,45.54342355,-73.63246188
6332,de Gaspé / de Liège,45.54248521,-73.63634169
6333,Leman / de Chateaubriand,45.547218,-73.631103
6334,Métro Jarry (Lajeunesse / Jarry),45.5437119,-73.62828434
6335,du Rosaire / St-Hubert,45.54481928,-73.62151042
6336,Faillon / St-Hubert,45.54297176,-73.61793905
6338,de Chateaubriand / Jarry,45.54595482,-73.62699151
6339,d'Oxford / de Monkland,45.47514039,-73.62347513
6340,de la Roche / Everett,45.544867,-73.614841
6341,Regina / de Verdun,45.467369,-73.570769
6343,Marquette / Villeray,45.55068362,-73.61529306
6344,St-Dominique / Jean-Talon,45.5352481,-73.61756355
6345,Louis-Hémon / Villeray,45.55496126,-73.61073732
6346,Nicolet / Sherbrooke,45.54969542,-73.55464697
6347,Métro St-Michel (Shaughnessy / St-Michel),45.559199,-73.599658
6349,Ryde / Charlevoix,45.4757434,-73.5646007
6350,Island / Centre,45.48149081,-73.56475353
6354,Marcil / Sherbrooke,45.471743,-73.613924
6355,Ontario / Sicard,45.55626187,-73.5374406
6356,de Monkland / Girouard,45.47710675,-73.621438
6357,13e avenue / St-Zotique,45.55748732,-73.58874857
6358,1ère  avenue / St-Zotique,45.55193736,-73.59392792
6359,Ste-Catherine / St-Laurent,45.50981336,-73.56389523
6360,8e avenue / Beaubien,45.553215,-73.58752
6361,Molson / Beaubien,45.5496859,-73.59115452
6362,1ère avenue / Rosemont,45.54779995,-73.58486742
6363,de la Côte St-Antoine / Royal,45.46892698,-73.61987025
6364,de Chambly / Rachel,45.54991069,-73.55826259
6366,Wilderton  / Van Horne,45.51014162,-73.62475187
6367,3e avenue / Dandurand,45.54729492,-73.57899874
6368,10e avenue / Masson,45.55030553,-73.57335269
6369,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),45.45750908,-73.63948524
6370,d'Orléans / Masson,45.557192,-73.569847
6371,4e avenue / Masson,45.546978,-73.575515
6372,1ère avenue / Masson,45.5451997,-73.57645065
6373,7e avenue / St-Joseph Rosemont,45.54722665,-73.56986985
6374,15e avenue / Masson,45.55389802,-73.57138664
