STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
25,001,010100,1,763,+42.051704,-070.193765
25,001,010100,2,494,+42.061715,-070.166750
25,001,010100,3,569,+42.057373,-070.183063
25,001,010100,4,516,+42.053929,-070.188125
25,001,010100,5,600,+42.048784,-070.191215
25,001,010206,1,660,+41.893415,-069.990824
25,001,010206,2,911,+41.942544,-070.038117
25,001,010206,3,1179,+41.928246,-070.012411
25,001,010208,1,787,+42.018250,-070.071297
25,001,010208,2,603,+42.039141,-070.094814
25,001,010208,3,613,+41.995062,-070.053765
25,001,010304,1,1066,+41.811654,-069.985996
25,001,010304,2,742,+41.837184,-069.990129
25,001,010304,3,613,+41.820143,-069.973038
25,001,010306,1,920,+41.859452,-069.990125
25,001,010306,2,918,+41.848279,-069.979139
25,001,010306,3,697,+41.868773,-069.987838
25,001,010400,1,766,+41.793456,-070.006165
25,001,010400,2,758,+41.786235,-069.996177
25,001,010400,3,638,+41.772151,-069.997047
25,001,010400,4,837,+41.744914,-069.985839
25,001,010500,1,1233,+41.793344,-069.968024
25,001,010500,2,840,+41.781972,-069.952592
25,001,010500,3,818,+41.774168,-069.976036
25,001,010600,1,614,+41.705098,-069.963374
25,001,010600,2,807,+41.703156,-069.996922
25,001,010600,3,1125,+41.695072,-069.968651
25,001,010600,4,427,+41.686200,-069.960537
25,001,010700,1,930,+41.690435,-069.996751
25,001,010700,2,837,+41.675995,-069.971458
25,001,010700,3,752,+41.677951,-070.009764
25,001,010700,4,633,+41.683128,-070.026092
25,001,010800,1,863,+41.741470,-070.130723
25,001,010800,2,529,+41.764771,-070.085615
25,001,010800,3,768,+41.763883,-070.066010
25,001,010800,4,702,+41.753623,-070.093206
25,001,010800,5,2016,+41.733766,-070.100585
25,001,010900,1,1826,+41.759246,-070.034116
25,001,010900,2,1043,+41.737699,-070.024418
25,001,010900,3,1362,+41.743164,-070.060357
25,001,010900,4,711,+41.758172,-070.049921
25,001,011002,1,673,+41.684793,-070.086297
25,001,011002,2,810,+41.672174,-070.116239
25,001,011002,3,502,+41.665023,-070.100967
25,001,011002,4,2172,+41.700850,-070.103292
25,001,011100,1,979,+41.713447,-070.010214
25,001,011100,2,1070,+41.721301,-070.020348
25,001,011100,3,1531,+41.712322,-070.057747
25,001,011100,4,1114,+41.696854,-070.059714
25,001,011200,1,1149,+41.677476,-070.056714
25,001,011200,2,1126,+41.690118,-070.039769
25,001,011200,3,523,+41.677328,-070.074891
25,001,011200,4,594,+41.670510,-070.082921
25,001,011300,1,639,+41.734666,-070.208948
25,001,011300,2,1220,+41.724785,-070.188224
25,001,011300,3,741,+41.741368,-070.185857
25,001,011400,1,792,+41.733735,-070.150896
25,001,011400,2,1101,+41.733559,-070.166946
25,001,011400,3,429,+41.748125,-070.158576
25,001,011400,4,669,+41.717497,-070.150722
25,001,011500,1,676,+41.712593,-070.175173
25,001,011500,2,1080,+41.708029,-070.164067
25,001,011500,3,612,+41.701714,-070.167820
25,001,011500,4,867,+41.696470,-070.150113
25,001,011500,5,794,+41.680091,-070.142533
25,001,011600,1,1513,+41.670405,-070.129337
25,001,011600,2,615,+41.661715,-070.134674
25,001,011600,3,582,+41.656851,-070.137224
25,001,011700,1,639,+41.673346,-070.160303
25,001,011700,2,491,+41.659786,-070.176783
25,001,011700,3,747,+41.664172,-070.156280
25,001,011801,1,1480,+41.716225,-070.210729
25,001,011801,2,923,+41.712423,-070.238309
25,001,011802,1,834,+41.710372,-070.202880
25,001,011802,2,844,+41.698806,-070.240237
25,001,011802,3,1439,+41.699428,-070.194830
25,001,011802,4,1138,+41.699019,-070.222543
25,001,012001,1,1583,+41.683008,-070.175788
25,001,012001,2,1505,+41.682125,-070.191472
25,001,012001,3,1259,+41.679255,-070.207848
25,001,012001,4,1385,+41.672224,-070.204857
25,001,012002,1,1200,+41.661758,-070.205397
25,001,012002,2,1112,+41.659320,-070.196470
