STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
04,001,942600,1,762,+36.707811,-109.837322
04,001,942600,2,816,+36.860787,-109.848592
04,001,942700,1,1070,+36.917691,-109.128805
04,001,942700,2,2116,+36.787551,-109.562845
04,001,942700,3,1139,+36.843914,-109.393614
04,001,942700,4,1303,+36.592825,-109.115832
04,001,944000,1,1593,+35.897980,-109.142728
04,001,944000,2,2307,+35.752578,-109.074645
04,001,944000,3,2143,+35.736753,-109.059365
04,001,944100,1,1353,+36.415054,-109.226499
04,001,944100,2,1461,+36.524278,-109.473007
04,001,944100,3,659,+36.229949,-109.135009
04,001,944100,4,1597,+36.301580,-109.222952
04,001,944100,5,800,+36.408092,-109.275783
04,001,944201,1,964,+36.164387,-109.579213
04,001,944201,2,793,+36.147611,-109.582824
04,001,944201,3,2253,+36.186324,-109.608911
04,001,944202,1,2566,+36.199100,-109.538965
04,001,944202,2,1487,+36.124030,-109.511808
04,001,944300,1,839,+36.349802,-109.572566
04,001,944300,2,1741,+36.378920,-109.620772
04,001,944300,3,1555,+36.044003,-109.859062
04,001,944300,4,1548,+36.312601,-109.865765
04,001,944300,5,1275,+35.946508,-109.478511
04,001,944901,1,785,+35.719101,-109.537724
04,001,944901,2,520,+35.695192,-109.539788
04,001,944901,3,693,+35.615394,-109.422568
04,001,944901,4,782,+35.408242,-109.459737
04,001,944901,5,1241,+35.768238,-109.427110
04,001,944902,1,1717,+35.796291,-109.853174
04,001,944902,2,874,+35.621286,-109.709348
04,001,944902,3,939,+35.433083,-109.533307
04,001,944902,4,1323,+35.734015,-109.608401
04,001,945001,1,1428,+35.675612,-109.054250
04,001,945001,2,847,+35.655765,-109.090315
04,001,945001,3,837,+35.675775,-109.113983
04,001,945001,4,1385,+35.673253,-109.072109
04,001,945002,1,1411,+35.377098,-109.109387
04,001,945002,2,1065,+35.613317,-109.106132
04,001,945002,3,1440,+35.276863,-109.258106
04,001,945100,1,1440,+35.166481,-109.283065
04,001,945100,2,781,+35.111589,-109.397448
04,001,970200,1,2602,+34.498039,-109.712523
04,001,970200,2,1433,+34.366925,-109.644784
04,001,970200,3,955,+34.513097,-109.379541
04,001,970300,1,1411,+34.285632,-109.338317
04,001,970300,2,967,+34.499994,-109.368260
04,001,970300,3,1145,+34.499233,-109.384365
04,001,970501,1,1245,+34.103402,-109.296394
04,001,970501,2,979,+34.119553,-109.286469
04,001,970501,3,1306,+34.125145,-109.273703
04,001,970501,4,1551,+34.105948,-109.277530
04,001,970502,1,1585,+33.987877,-109.236319
04,001,970502,2,971,+34.101790,-109.315008
04,001,970502,3,1720,+34.196705,-109.779126
04,003,000100,1,1034,+32.286441,-109.365672
04,003,000100,2,937,+31.993243,-109.628597
04,003,000201,1,2165,+32.352079,-109.888312
04,003,000201,2,1582,+32.272560,-109.898510
04,003,000202,1,1126,+32.258137,-109.836659
04,003,000202,2,839,+32.250765,-109.839726
04,003,000202,3,1200,+32.265075,-109.827582
04,003,000202,4,817,+32.247655,-109.844855
04,003,000203,1,868,+32.063622,-109.846973
04,003,000203,2,938,+31.980493,-109.893011
04,003,000203,3,934,+31.938785,-109.834093
04,003,000301,1,1149,+31.954550,-110.291630
04,003,000301,2,1053,+31.962782,-110.313612
04,003,000301,3,770,+31.966361,-110.298086
04,003,000301,4,1240,+31.970755,-110.290057
04,003,000302,1,1845,+31.936593,-110.183616
04,003,000302,2,1033,+31.883713,-110.226872
04,003,000302,3,795,+31.932280,-110.290393
04,003,000302,4,1178,+31.951111,-110.402721
04,003,000303,1,932,+32.086412,-110.306791
