STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
30,001,000100,1,615,+45.618567,-113.288484
30,001,000100,2,751,+44.790659,-112.750748
30,001,000200,1,1566,+45.218117,-112.717628
30,001,000200,2,1904,+45.276982,-112.616354
30,001,000300,1,1178,+45.222605,-112.625648
30,001,000300,2,829,+45.218589,-112.637198
30,001,000300,3,977,+45.212259,-112.639536
30,001,000300,4,1426,+45.211024,-112.627916
30,003,000100,1,1013,+45.736368,-107.607062
30,003,000100,2,1956,+45.730990,-107.620634
30,003,000100,3,890,+45.727379,-107.617472
30,003,000100,4,663,+45.830877,-107.571815
30,003,940400,1,1790,+45.531221,-106.871621
30,003,940500,1,639,+45.393826,-107.799611
30,003,940500,2,797,+45.417742,-108.469382
30,003,940600,1,1517,+45.621975,-107.497918
30,003,940600,2,1406,+45.614288,-107.448122
30,003,940700,1,1282,+45.214154,-107.419342
30,003,940700,2,912,+45.315972,-107.368589
30,005,000100,1,532,+48.729121,-108.592078
30,005,000100,2,821,+48.531207,-108.784833
30,005,000200,1,1090,+48.537131,-109.237401
30,005,000200,2,495,+48.592553,-109.233573
30,005,000200,3,825,+48.586721,-109.231002
30,005,940100,1,1398,+48.463978,-108.740170
30,005,940200,1,604,+48.000405,-108.701860
30,005,940200,2,726,+48.039245,-108.614919
30,007,000100,1,974,+46.325231,-111.517188
30,007,000100,2,1103,+46.316860,-111.512905
30,007,000200,1,2197,+46.268814,-111.617528
30,007,000200,2,1338,+46.330877,-111.432951
30,009,000100,1,641,+45.474112,-109.048227
30,009,000100,2,689,+45.483974,-108.972990
30,009,000100,3,1157,+45.548400,-108.850472
30,009,000200,1,919,+45.366259,-108.931455
30,009,000200,2,837,+45.296901,-108.914866
30,009,000300,1,1102,+45.196028,-109.251099
30,009,000300,2,605,+45.186725,-109.245924
30,009,000300,3,515,+45.179263,-109.249642
30,009,000400,1,1129,+45.367496,-109.210181
30,009,000400,2,1130,+45.200630,-109.315830
30,009,000500,1,1354,+45.236356,-108.996707
30,011,000300,1,615,+45.896320,-104.545953
30,011,000300,2,545,+45.434036,-104.498866
30,013,000100,1,1687,+47.509849,-111.231038
30,013,000100,2,934,+47.514331,-111.231416
30,013,000200,1,1064,+47.514263,-111.252240
30,013,000200,2,1273,+47.508936,-111.246882
30,013,000200,3,1509,+47.508753,-111.258204
30,013,000300,1,874,+47.514716,-111.273119
30,013,000300,2,1085,+47.511204,-111.273088
30,013,000300,3,697,+47.508512,-111.273576
30,013,000300,4,776,+47.506317,-111.273469
30,013,000400,1,1123,+47.512345,-111.286399
30,013,000400,2,787,+47.507690,-111.286561
