STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
10,001,040100,1,2637,+39.271402,-075.693510
10,001,040100,2,2174,+39.226522,-075.683733
10,001,040100,3,1730,+39.199863,-075.665749
10,001,040201,1,2666,+39.290431,-075.636060
10,001,040201,2,2375,+39.301173,-075.614964
10,001,040202,1,4662,+39.286715,-075.615808
10,001,040202,2,8101,+39.259451,-075.602872
10,001,040203,1,3550,+39.286337,-075.593412
10,001,040203,2,1467,+39.288990,-075.570078
10,001,040501,1,2349,+39.205645,-075.553483
10,001,040501,2,2574,+39.176296,-075.515394
10,001,040502,1,713,+39.223494,-075.537330
10,001,040502,2,1268,+39.190722,-075.510380
10,001,040700,1,1726,+39.176789,-075.565966
10,001,040700,2,1449,+39.170749,-075.554004
10,001,040700,3,1649,+39.163649,-075.551745
10,001,040900,1,2561,+39.167090,-075.525228
10,001,041000,1,2495,+39.170082,-075.505723
10,001,041000,2,3500,+39.157327,-075.496480
10,001,041100,1,2667,+39.120532,-075.487103
10,001,041100,2,1073,+39.117481,-075.481426
10,001,041200,1,1809,+39.137071,-075.514128
10,001,041200,2,2397,+39.129242,-075.501227
10,001,041300,1,2068,+39.153779,-075.519497
10,001,041400,1,2339,+39.151214,-075.542616
10,001,041400,2,1309,+39.157593,-075.534627
10,001,041500,1,2626,+39.136603,-075.535122
10,001,041500,2,1249,+39.128272,-075.537943
10,001,041600,1,2089,+39.124004,-075.524587
10,001,041701,1,1813,+39.117048,-075.554630
10,001,041701,2,3985,+39.103981,-075.553845
10,001,041702,1,2378,+39.111226,-075.519735
10,001,041702,2,1838,+39.103751,-075.533047
10,001,041801,1,3692,+39.213117,-075.586558
10,001,041801,2,2927,+39.178763,-075.604865
10,001,041801,3,3014,+39.161959,-075.568580
10,001,041802,1,3478,+39.149263,-075.586117
10,001,041802,2,1725,+39.124039,-075.605508
10,001,041900,1,2891,+39.162650,-075.689534
10,001,041900,2,2385,+39.120620,-075.718030
10,001,042000,1,1338,+39.087837,-075.676393
10,001,042000,2,1835,+39.041135,-075.670628
10,001,042100,1,1618,+39.049740,-075.586601
10,001,042100,2,2241,+39.085325,-075.583059
10,001,042201,1,4261,+39.095373,-075.493962
10,001,042201,2,3043,+39.074136,-075.526542
10,001,042201,3,2462,+39.063339,-075.544200
10,001,042202,1,2489,+39.065873,-075.489515
10,001,042202,2,4056,+39.044437,-075.485713
10,001,042202,3,2312,+39.034407,-075.533011
10,001,042500,1,1467,+38.923126,-075.422621
10,001,042500,2,1988,+38.917507,-075.434465
10,001,042800,1,2012,+38.991808,-075.666710
10,001,042800,2,2779,+39.009649,-075.577107
10,001,042800,3,2294,+39.007514,-075.549583
10,001,042900,1,2234,+38.899326,-075.541457
10,001,042900,2,2560,+38.926967,-075.504344
10,001,043000,1,1737,+38.927177,-075.584502
10,001,043000,2,1954,+38.924550,-075.575729
10,001,043000,3,1535,+38.924686,-075.552007
10,001,043100,1,983,+38.921293,-075.671528
10,001,043100,2,1647,+38.865019,-075.644546
10,001,043202,1,1155,+39.186068,-075.461414
10,001,043202,2,659,+38.988222,-075.419280
10,001,043202,3,976,+39.050060,-075.426606
10,001,043202,4,1000,+38.969855,-075.401161
10,001,043300,1,2581,+39.187429,-075.547633
10,001,043300,2,1820,+39.175390,-075.542989
10,001,043300,3,1730,+39.165473,-075.533827
10,001,043400,1,1374,+39.006671,-075.482622
10,001,043400,2,2772,+38.939206,-075.453399
10,001,990000,0,0,+39.125869,-075.311192
10,003,000200,1,751,+39.769116,-075.526885
10,003,000200,2,796,+39.761869,-075.524667
10,003,000200,3,896,+39.765311,-075.528243
10,003,000200,4,654,+39.762488,-075.530808
10,003,000200,5,960,+39.759652,-075.529638
10,003,000200,6,1381,+39.762721,-075.534575
10,003,000300,1,551,+39.763217,-075.540183
10,003,000300,2,827,+39.761320,-075.539074
10,003,000300,3,655,+39.759437,-075.536362
10,003,000300,4,1161,+39.757980,-075.539749
10,003,000400,1,891,+39.761176,-075.544586
10,003,000400,2,1321,+39.756533,-075.543613
10,003,000400,3,744,+39.758870,-075.547908
10,003,000500,1,991,+39.757030,-075.534642
10,003,000500,2,1116,+39.755540,-075.537961
10,003,000500,3,766,+39.754196,-075.541304
10,003,000500,4,774,+39.753169,-075.544381
10,003,000601,1,1185,+39.755704,-075.526414
10,003,000601,2,856,+39.751674,-075.529686
10,003,000601,3,869,+39.748942,-075.532022
10,003,000602,1,935,+39.753493,-075.534754
10,003,000602,2,978,+39.748905,-075.535402
10,003,000602,3,736,+39.751538,-075.538308
10,003,000900,1,780,+39.742584,-075.540464
10,003,000900,2,908,+39.743925,-075.542439
10,003,000900,3,535,+39.746758,-075.543400
