STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
19,001,960100,1,1438,+41.455730,-094.347840
19,001,960100,2,568,+41.442950,-094.577560
19,001,960100,3,785,+41.500459,-094.646177
19,001,960200,1,596,+41.255898,-094.336429
19,001,960200,2,1248,+41.224325,-094.529989
19,001,960300,1,590,+41.306748,-094.464053
19,001,960300,2,695,+41.308089,-094.454648
19,001,960300,3,759,+41.300101,-094.460287
19,001,960300,4,1003,+41.291420,-094.542738
19,003,950100,1,1038,+41.055140,-094.713955
19,003,950100,2,704,+41.014772,-094.553303
19,003,950200,1,1118,+40.993693,-094.738224
19,003,950200,2,1169,+40.971243,-094.772557
19,005,960100,1,631,+43.385317,-091.257233
19,005,960100,2,762,+43.358199,-091.223821
19,005,960100,3,737,+43.308960,-091.234213
19,005,960200,1,835,+43.487490,-091.323368
19,005,960200,2,839,+43.404203,-091.502056
19,005,960200,3,917,+43.294224,-091.490612
19,005,960300,1,682,+43.273149,-091.471597
19,005,960300,2,1446,+43.275848,-091.482531
19,005,960300,3,957,+43.266941,-091.474738
19,005,960300,4,1003,+43.263110,-091.484091
19,005,960400,1,1257,+43.173714,-091.356109
19,005,960400,2,1086,+43.180539,-091.193161
19,005,960500,1,920,+43.215472,-091.482269
19,005,960500,2,1377,+43.093098,-091.553632
19,005,960500,3,881,+43.088966,-091.575308
19,007,950100,1,858,+40.887170,-092.798974
19,007,950100,2,1032,+40.776877,-092.756778
19,007,950100,3,697,+40.686419,-092.676829
19,007,950200,1,1318,+40.814578,-092.952746
19,007,950200,2,550,+40.779806,-092.944723
19,007,950300,1,804,+40.739482,-092.863884
19,007,950300,2,926,+40.738441,-092.884041
19,007,950300,3,1325,+40.740021,-092.873561
19,007,950400,1,842,+40.719684,-092.878449
19,007,950400,2,1358,+40.726273,-092.872187
19,007,950400,3,825,+40.721416,-092.863152
19,007,950500,1,658,+40.646111,-092.794568
19,007,950500,2,639,+40.636733,-092.913421
19,007,950500,3,1055,+40.674966,-092.991944
19,009,070100,1,487,+41.781824,-094.848134
19,009,070100,2,868,+41.637646,-094.975237
19,009,070100,3,701,+41.765826,-095.017051
19,009,070200,1,755,+41.714241,-094.928287
19,009,070200,2,884,+41.722300,-094.923213
19,009,070200,3,693,+41.723585,-094.932967
19,009,070300,1,658,+41.590468,-094.876836
19,009,070300,2,523,+41.552092,-094.947933
19,009,070300,3,550,+41.570847,-094.824157
19,011,960100,1,1637,+42.220964,-091.874298
19,011,960100,2,1375,+42.230694,-091.945722
19,011,960200,1,1163,+42.238971,-092.145617
19,011,960200,2,1101,+42.123194,-092.168141
19,011,960200,3,987,+42.005537,-092.098833
19,011,960300,1,1041,+42.169319,-092.012136
19,011,960300,2,874,+42.167311,-092.024541
19,011,960300,3,1234,+42.166824,-092.038385
19,011,960300,4,1040,+42.159734,-092.015649
19,011,960300,5,1221,+42.158485,-092.028385
19,011,960400,1,2456,+42.118766,-091.883665
19,011,960400,2,814,+42.075636,-091.944629
19,011,960500,1,2449,+41.988493,-091.870226
19,011,960500,2,1210,+41.993221,-091.976780
19,011,960500,3,2101,+41.891739,-091.871018
19,011,960600,1,1138,+41.904642,-092.052572
19,011,960600,2,641,+41.900023,-092.164939
19,011,960600,3,864,+41.998222,-092.210650
19,011,960700,1,862,+41.903079,-092.269893
19,011,960700,2,820,+41.898846,-092.283032
19,011,960700,3,1048,+41.892866,-092.272463
19,013,000100,1,1281,+42.504550,-092.338705
19,013,000100,2,730,+42.498798,-092.335640
19,013,000200,1,1203,+42.486404,-092.347845
19,013,000200,2,1854,+42.486874,-092.339198
19,013,000300,1,1516,+42.491149,-092.354451
19,013,000300,2,1588,+42.492169,-092.349093
19,013,000400,1,839,+42.499922,-092.367968
19,013,000400,2,727,+42.502213,-092.374507
19,013,000500,1,673,+42.515646,-092.349222
19,013,000500,2,1044,+42.511731,-092.345488
19,013,000700,1,1518,+42.497158,-092.324889
19,013,000800,1,779,+42.493550,-092.318918
19,013,000800,2,2214,+42.491157,-092.306281
19,013,000800,3,1035,+42.490804,-092.287663
19,013,000900,1,1764,+42.472100,-092.330044
19,013,001000,1,1186,+42.480509,-092.333853
19,013,001000,2,653,+42.479809,-092.327337
19,013,001000,3,900,+42.472729,-092.326555
19,013,001000,4,887,+42.473446,-092.333718
19,013,001100,1,1252,+42.480787,-092.352231
19,013,001100,2,1595,+42.480754,-092.342164
19,013,001200,1,1552,+42.473242,-092.348923
19,013,001200,2,769,+42.473188,-092.340040
19,013,001301,1,1920,+42.466371,-092.344978
19,013,001301,2,2222,+42.460693,-092.347431
19,013,001302,1,1396,+42.467165,-092.368612
19,013,001302,2,2236,+42.462185,-092.365991
19,013,001400,1,875,+42.482461,-092.368321
19,013,001400,2,910,+42.486620,-092.363161
19,013,001400,3,689,+42.487137,-092.357998
19,013,001400,4,1000,+42.478319,-092.361305
19,013,001400,5,1083,+42.472511,-092.366424
19,013,001501,1,1611,+42.475924,-092.381727
19,013,001501,2,1509,+42.463985,-092.386872
19,013,001502,1,1541,+42.496927,-092.400496
19,013,001502,2,2624,+42.493741,-092.385531
19,013,001503,1,731,+42.501922,-092.381561
19,013,001503,2,1510,+42.513080,-092.401071
19,013,001503,3,1604,+42.507420,-092.388322
19,013,001600,1,1477,+42.519786,-092.366957
19,013,001600,2,1284,+42.527463,-092.369387
19,013,001701,1,1599,+42.516830,-092.338925
19,013,001701,2,548,+42.515699,-092.328848
19,013,001702,1,1306,+42.529149,-092.351790
19,013,001702,2,1161,+42.526578,-092.333095
19,013,001800,1,1506,+42.509213,-092.325622
19,013,001900,1,739,+42.509851,-092.302793
19,013,001900,2,800,+42.500225,-092.311363
19,013,001900,3,642,+42.496365,-092.310811
19,013,002000,1,1366,+42.473444,-092.285019
19,013,002000,2,1291,+42.461761,-092.263192
19,013,002000,3,1789,+42.467981,-092.279323
19,013,002000,4,949,+42.464794,-092.295056
19,013,002200,1,663,+42.538977,-092.457719
19,013,002200,2,662,+42.535920,-092.455621
19,013,002200,3,769,+42.530099,-092.442844
19,013,002200,4,887,+42.531235,-092.450384
19,013,002200,5,1221,+42.531272,-092.459000
19,013,002301,1,694,+42.524888,-092.446998
19,013,002301,2,885,+42.517338,-092.436557
19,013,002301,3,669,+42.518579,-092.448564
19,013,002303,1,1252,+42.514209,-092.454510
19,013,002303,2,3890,+42.514814,-092.462521
19,013,002304,1,692,+42.525036,-092.454525
19,013,002304,2,1377,+42.519530,-092.455806
19,013,002304,3,680,+42.523191,-092.461655
19,013,002400,1,605,+42.522507,-092.433287
19,013,002400,2,742,+42.520523,-092.416894
