STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
17,001,000100,1,1168,+39.952505,-091.359197
17,001,000100,2,756,+39.941865,-091.362125
17,001,000100,3,948,+39.944340,-091.374426
17,001,000100,4,899,+39.938156,-091.371588
17,001,000100,5,856,+39.939009,-091.345799
17,001,000201,1,1059,+39.957397,-091.388758
17,001,000201,2,927,+39.948636,-091.386211
17,001,000202,1,1185,+39.939389,-091.383449
17,001,000202,2,1220,+39.944145,-091.386146
17,001,000202,3,594,+39.939023,-091.390885
17,001,000400,1,960,+39.958009,-091.405189
17,001,000400,2,1473,+39.946743,-091.407496
17,001,000400,3,1329,+39.940475,-091.408014
17,001,000400,4,560,+39.955015,-091.399663
17,001,000500,1,1264,+39.946531,-091.399022
17,001,000500,2,1073,+39.939894,-091.398153
17,001,000600,1,889,+39.931657,-091.372515
17,001,000600,2,775,+39.934176,-091.382245
17,001,000600,3,747,+39.934109,-091.392285
17,001,000600,4,658,+39.928485,-091.391743
17,001,000600,5,649,+39.929070,-091.381933
17,001,000700,1,517,+39.932578,-091.399856
17,001,000700,2,964,+39.933928,-091.407064
17,001,000800,1,996,+39.924745,-091.405456
17,001,000800,2,773,+39.917630,-091.407803
17,001,000800,3,942,+39.917643,-091.405868
17,001,000900,1,1154,+39.924986,-091.399471
17,001,000900,2,1419,+39.913838,-091.399794
17,001,001001,1,1201,+39.923124,-091.382490
17,001,001001,2,1235,+39.923794,-091.391728
17,001,001001,3,955,+39.916683,-091.382383
17,001,001002,1,1079,+39.917479,-091.391597
17,001,001002,2,2144,+39.908383,-091.385372
17,001,001100,1,921,+39.929788,-091.350888
17,001,001100,2,2629,+39.920052,-091.366365
17,001,001100,3,2115,+39.906542,-091.367369
17,001,001100,4,1592,+39.917839,-091.348820
17,001,010100,1,1012,+40.086865,-091.285911
17,001,010100,2,1240,+40.143950,-091.260176
17,001,010100,3,1120,+40.100629,-091.380206
17,001,010100,4,1079,+40.045340,-091.247106
17,001,010200,1,732,+40.107753,-090.994405
17,001,010200,2,908,+40.100316,-091.066399
17,001,010200,3,1301,+40.042714,-091.065292
17,001,010200,4,779,+40.030372,-090.957278
17,001,010300,1,806,+39.880337,-090.973314
17,001,010300,2,1075,+39.941701,-091.097417
17,001,010300,3,948,+39.901146,-091.221169
17,001,010300,4,902,+39.875555,-091.101134
17,001,010300,5,1049,+39.796328,-091.151788
17,001,010300,6,1110,+39.816905,-091.240550
17,001,010400,1,1536,+39.956112,-091.324730
17,001,010400,2,925,+39.979955,-091.298137
17,001,010400,3,1092,+39.974807,-091.228601
17,001,010500,1,2276,+39.974081,-091.391033
17,001,010500,2,713,+39.991431,-091.402527
17,001,010600,1,1760,+39.903118,-091.323839
17,001,010600,2,620,+39.888169,-091.401052
17,001,010600,3,1204,+39.889131,-091.305224
17,001,010600,4,592,+39.825283,-091.334757
17,001,010600,5,1699,+39.886483,-091.376938
17,003,957600,1,1248,+37.236945,-089.280586
17,003,957600,2,800,+37.287632,-089.318622
17,003,957600,3,880,+37.304902,-089.463707
17,003,957700,1,643,+37.210204,-089.442645
17,003,957700,2,1529,+37.171694,-089.338840
17,003,957800,1,792,+37.030609,-089.193949
17,003,957800,2,736,+37.013472,-089.183195
17,003,957900,1,746,+37.002686,-089.171948
17,003,957900,2,864,+37.001802,-089.179144
17,005,951200,1,1113,+38.976235,-089.358552
17,005,951200,2,1269,+38.917903,-089.388379
17,005,951200,3,834,+38.923339,-089.272972
17,005,951300,1,1938,+38.897957,-089.402011
17,005,951300,2,1001,+38.893673,-089.403318
