STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
23,001,010100,1,829,+44.097050,-070.228104
23,001,010100,2,885,+44.093224,-070.226404
23,001,010200,1,1007,+44.108532,-070.227227
23,001,010200,2,1812,+44.117644,-070.227139
23,001,010200,3,1784,+44.151052,-070.246379
23,001,010300,1,1124,+44.102236,-070.230607
23,001,010300,2,1344,+44.099085,-070.235545
23,001,010400,1,1401,+44.086557,-070.244405
23,001,010400,2,718,+44.083237,-070.238330
23,001,010500,1,874,+44.085878,-070.220965
23,001,010500,2,1156,+44.084320,-070.224320
23,001,010600,1,1052,+44.076136,-070.221112
23,001,010600,2,1995,+44.040306,-070.235452
23,001,010700,1,920,+44.078190,-070.254711
23,001,010700,2,2168,+44.061806,-070.272159
23,001,010800,1,1808,+44.104210,-070.240736
23,001,010800,2,2178,+44.100102,-070.265563
23,001,020100,1,1577,+44.095053,-070.214932
23,001,020200,1,658,+44.106247,-070.211764
23,001,020200,2,625,+44.105772,-070.217229
23,001,020300,1,2336,+44.104327,-070.202713
23,001,020300,2,2080,+44.100126,-070.204664
23,001,020300,3,1078,+44.097679,-070.211814
23,001,020300,4,1189,+44.098489,-070.208068
23,001,020400,1,607,+44.090901,-070.204998
23,001,020400,2,770,+44.090582,-070.216312
23,001,020400,3,2393,+44.093635,-070.210058
23,001,020500,1,1015,+44.093393,-070.195552
23,001,020500,2,1429,+44.086367,-070.191833
23,001,020500,3,1269,+44.081982,-070.201411
23,001,020600,1,1310,+44.081149,-070.185608
23,001,020600,2,1398,+44.054364,-070.169133
23,001,020700,1,1681,+44.114064,-070.192088
23,001,020700,2,2222,+44.095300,-070.181554
23,001,020700,3,988,+44.105393,-070.187886
23,001,020800,1,2073,+44.087720,-070.143176
23,001,020800,2,2380,+44.119089,-070.153565
23,001,020800,3,618,+44.105684,-070.167902
23,001,020800,4,2485,+44.096538,-070.165325
23,001,020900,1,917,+44.119272,-070.199281
23,001,020900,2,2197,+44.115021,-070.206402
23,001,020900,3,1297,+44.140309,-070.191935
23,001,030100,1,2493,+44.030609,-070.112959
23,001,030100,2,2131,+44.025215,-070.103863
23,001,030200,1,2066,+44.003939,-070.055530
23,001,030200,2,1553,+44.006059,-070.066423
23,001,030200,3,766,+44.020301,-070.047640
23,001,040000,1,1450,+43.968240,-070.164386
23,001,040000,2,2398,+43.960579,-070.090473
23,001,041000,1,1382,+44.056573,-070.433646
23,001,041000,2,2713,+44.038530,-070.377902
23,001,041000,3,1281,+44.064333,-070.324173
23,001,041500,1,2607,+44.144268,-070.339622
23,001,041500,2,1528,+44.108801,-070.408587
23,001,041500,3,1503,+44.104883,-070.386002
