STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,POPULATION,LATITUDE,LONGITUDE
42,001,030101,1,2580,+40.015805,-077.081172
42,001,030102,1,1136,+39.940818,-076.995904
42,001,030102,2,2434,+39.980590,-077.035933
42,001,030102,3,2210,+39.929089,-077.057235
42,001,030200,1,3202,+40.000254,-077.137559
42,001,030200,2,2298,+39.959070,-077.160354
42,001,030300,1,2251,+39.973414,-077.318327
42,001,030300,2,1905,+39.985105,-077.240078
42,001,030400,1,1446,+39.915855,-077.406954
42,001,030400,2,979,+39.923503,-077.298505
42,001,030400,3,1289,+39.878509,-077.307547
42,001,030400,4,1312,+39.873705,-077.360488
42,001,030400,5,803,+39.880362,-077.412175
42,001,030500,1,2179,+39.926149,-077.227283
42,001,030500,2,1588,+39.921269,-077.260640
42,001,030600,1,1455,+39.868602,-077.173147
42,001,030600,2,1310,+39.894567,-077.144613
42,001,030600,3,2163,+39.839027,-077.197063
42,001,030700,1,2646,+39.840480,-077.119613
42,001,030700,2,2047,+39.807127,-077.106559
42,001,030700,3,1800,+39.808798,-077.133681
42,001,030800,1,1521,+39.935873,-076.978816
42,001,030800,2,2189,+39.900686,-077.021869
42,001,030800,3,1407,+39.885828,-076.991460
42,001,030800,4,2334,+39.861894,-076.991111
42,001,030900,1,1752,+39.864040,-077.061948
42,001,030900,2,1810,+39.868851,-077.052190
42,001,030900,3,2831,+39.857219,-077.038619
42,001,030900,4,907,+39.842697,-077.063652
42,001,031000,1,1781,+39.816071,-077.027236
42,001,031101,1,1358,+39.802265,-077.024943
42,001,031101,2,1680,+39.805741,-077.015872
42,001,031101,3,2125,+39.802861,-077.005054
42,001,031102,1,3179,+39.794506,-077.033649
42,001,031201,1,1892,+39.752040,-077.186341
42,001,031201,2,1778,+39.799530,-077.180639
42,001,031202,1,2700,+39.737394,-077.103434
42,001,031203,1,3148,+39.750129,-077.048888
42,001,031300,1,2699,+39.742506,-077.092351
42,001,031300,2,1735,+39.746572,-077.084641
42,001,031401,1,2324,+39.858199,-077.243604
42,001,031401,2,1651,+39.835409,-077.270967
42,001,031402,1,918,+39.814023,-077.254646
42,001,031402,2,1269,+39.765904,-077.247134
42,001,031501,1,2139,+39.835615,-077.234276
42,001,031501,2,1176,+39.835330,-077.229140
42,001,031502,1,1244,+39.831159,-077.237274
42,001,031502,2,1041,+39.827837,-077.236135
42,001,031502,3,793,+39.822907,-077.235265
42,001,031502,4,1227,+39.830304,-077.226393
42,001,031600,1,943,+39.823660,-077.325282
42,001,031600,2,831,+39.754058,-077.297636
42,001,031600,3,3260,+39.744591,-077.388552
42,001,031600,4,1853,+39.761226,-077.355943
42,001,031700,1,1231,+39.817622,-077.405762
42,001,031700,2,1648,+39.771022,-077.396045
42,003,010300,1,2594,+40.434602,-079.993347
42,003,010300,2,3336,+40.436130,-079.990873
42,003,010300,3,353,+40.437007,-079.982553
42,003,010300,4,317,+40.437364,-079.977217
42,003,020100,1,1435,+40.438538,-080.001596
42,003,020100,2,936,+40.442870,-080.002927
42,003,020100,3,28,+40.440813,-079.999444
42,003,020100,4,798,+40.439816,-079.989261
42,003,020100,5,9,+40.438960,-079.997463
42,003,020100,6,423,+40.444266,-079.994717
42,003,020300,1,616,+40.456547,-079.978868
42,003,030500,1,1403,+40.444363,-079.985274
42,003,030500,2,853,+40.440627,-079.982027
42,003,040200,1,834,+40.439303,-079.969195
42,003,040200,2,1770,+40.441134,-079.962242
42,003,040400,1,636,+40.446303,-079.948263
42,003,040400,2,1852,+40.448099,-079.950516
42,003,040500,1,1904,+40.439808,-079.954790
42,003,040500,2,1790,+40.438140,-079.957502
42,003,040600,1,2392,+40.436736,-079.953256
